episode,timesteps,avg_reward,ep_length,epsilon
1,442,-11.0,442,0.9581
2,880,-1.0,438,0.9165
3,1320,-16.0,440,0.8747
4,1759,4.0,439,0.833
5,2204,-2.0,445,0.7907
6,2645,-13.0,441,0.7488
7,3087,-7.0,442,0.7068
8,3525,-11.0,438,0.6652
9,3968,-17.0,443,0.6231
10,4408,-6.0,440,0.5813
11,4849,-10.0,441,0.5394
12,5288,-16.0,439,0.4977
13,5731,-4.0,443,0.4556
14,6173,-20.0,442,0.4137
15,6612,-16.0,439,0.372
16,7052,-27.0,440,0.3302
17,7497,-20.0,445,0.2879
18,7938,-13.0,441,0.246
19,8382,-40.0,444,0.2038
20,8824,-11.0,442,0.1618
21,9265,-28.0,441,0.1199
22,9704,-33.0,439,0.0782
23,10143,-23.0,439,0.05
24,10583,-38.0,440,0.05
25,11027,-24.0,444,0.05
26,11468,-26.0,441,0.05
27,11912,-22.0,444,0.05
28,12357,-22.0,445,0.05
29,12802,-60.0,445,0.05
30,13242,-27.0,440,0.05
31,13686,-37.0,444,0.05
32,14128,-31.0,442,0.05
33,14572,-63.0,444,0.05
34,15010,-22.0,438,0.05
35,15448,-52.0,438,0.05
36,15889,-43.0,441,0.05
37,16332,-17.0,443,0.05
38,16772,-35.0,440,0.05
39,17210,-43.0,438,0.05
40,17652,-51.0,442,0.05
41,18095,-33.0,443,0.05
42,18536,-32.0,441,0.05
43,18979,-40.0,443,0.05
44,19418,-47.0,439,0.05
45,19856,-13.0,438,0.05
46,20296,-27.0,440,0.05
47,20739,-38.0,443,0.05
48,21181,-34.0,442,0.05
49,21624,-33.0,443,0.05
50,22069,-20.0,445,0.05
51,22508,-28.0,439,0.05
52,22946,-27.0,438,0.05
53,23386,-36.0,440,0.05
54,23831,-28.0,445,0.05
55,24275,-30.0,444,0.05
56,24717,-27.0,442,0.05
57,25158,-28.0,441,0.05
58,25600,0.0,442,0.05
59,26044,-67.0,444,0.05
60,26482,-27.0,438,0.05
61,26923,-12.0,441,0.05
62,27364,-28.0,441,0.05
63,27804,-27.0,440,0.05
64,28247,-42.0,443,0.05
65,28691,-11.0,444,0.05
66,29129,-25.0,438,0.05
67,29571,-42.0,442,0.05
68,30009,-40.0,438,0.05
69,30449,-39.0,440,0.05
70,30891,-31.0,442,0.05
71,31328,-36.0,437,0.05
72,31766,-41.0,438,0.05
73,32207,-37.0,441,0.05
74,32645,-44.0,438,0.05
75,33083,-41.0,438,0.05
76,33524,-50.0,441,0.05
77,33967,-23.0,443,0.05
78,34407,-14.0,440,0.05
79,34849,-12.0,442,0.05
80,35292,-39.0,443,0.05
81,35732,-30.0,440,0.05
82,36170,-46.0,438,0.05
83,36609,-30.0,439,0.05
84,37051,-46.0,442,0.05
85,37495,-34.0,444,0.05
86,37939,-34.0,444,0.05
87,38377,-14.0,438,0.05
88,38816,-21.0,439,0.05
89,39260,-21.0,444,0.05
90,39703,-23.0,443,0.05
91,40145,-15.0,442,0.05
92,40588,-13.0,443,0.05
93,41029,-16.0,441,0.05
94,41471,-17.0,442,0.05
95,41912,-26.0,441,0.05
96,42354,-11.0,442,0.05
97,42795,-5.0,441,0.05
98,43234,-16.0,439,0.05
99,43674,-31.0,440,0.05
100,44112,-23.0,438,0.05
101,44552,-23.0,440,0.05
102,44989,-26.0,437,0.05
103,45430,-19.0,441,0.05
104,45872,-27.0,442,0.05
105,46310,-33.0,438,0.05
106,46750,-35.0,440,0.05
107,47189,-28.0,439,0.05
108,47628,-22.0,439,0.05
109,48069,-20.0,441,0.05
110,48511,-18.0,442,0.05
111,48954,-51.0,443,0.05
112,49395,-33.0,441,0.05
113,49836,-26.0,441,0.05
114,50278,-29.0,442,0.05
115,50718,-32.0,440,0.05
116,51162,-33.0,444,0.05
117,51600,-50.0,438,0.05
118,52043,-25.0,443,0.05
119,52487,-23.0,444,0.05
120,52926,-19.0,439,0.05
121,53369,-34.0,443,0.05
122,53811,-22.0,442,0.05
123,54254,-16.0,443,0.05
124,54692,-21.0,438,0.05
125,55135,-19.0,443,0.05
126,55577,-28.0,442,0.05
127,56017,-30.0,440,0.05
128,56458,-32.0,441,0.05
129,56896,-50.0,438,0.05
130,57340,-36.0,444,0.05
131,57781,-23.0,441,0.05
132,58223,-57.0,442,0.05
133,58668,-31.0,445,0.05
134,59107,-12.0,439,0.05
135,59550,-19.0,443,0.05
136,59991,-10.0,441,0.05
137,60432,-33.0,441,0.05
138,60875,-32.0,443,0.05
139,61316,-15.0,441,0.05
140,61757,-18.0,441,0.05
141,62197,-12.0,440,0.05
142,62636,-19.0,439,0.05
143,63075,-5.0,439,0.05
144,63517,-18.0,442,0.05
145,63956,-16.0,439,0.05
146,64398,-18.0,442,0.05
147,64839,-12.0,441,0.05
148,65283,-38.0,444,0.05
149,65727,-16.0,444,0.05
150,66165,-4.0,438,0.05
151,66602,-22.0,437,0.05
152,67042,-22.0,440,0.05
153,67483,-28.0,441,0.05
154,67927,-12.0,444,0.05
155,68370,-13.0,443,0.05
156,68811,-18.0,441,0.05
157,69254,-16.0,443,0.05
158,69694,-15.0,440,0.05
159,70137,-29.0,443,0.05
160,70579,-30.0,442,0.05
161,71020,-16.0,441,0.05
162,71459,-1.0,439,0.05
163,71904,-3.0,445,0.05
164,72346,-27.0,442,0.05
165,72785,-28.0,439,0.05
166,73227,-21.0,442,0.05
167,73666,-4.0,439,0.05
168,74106,-25.0,440,0.05
169,74547,-5.0,441,0.05
170,74988,-25.0,441,0.05
171,75427,-26.0,439,0.05
172,75865,-2.0,438,0.05
173,76303,-22.0,438,0.05
174,76743,-5.0,440,0.05
175,77187,-12.0,444,0.05
176,77628,-27.0,441,0.05
177,78070,-10.0,442,0.05
178,78513,-4.0,443,0.05
179,78957,-41.0,444,0.05
180,79398,-46.0,441,0.05
181,79842,-36.0,444,0.05
182,80283,-2.0,441,0.05
183,80725,-5.0,442,0.05
184,81163,-17.0,438,0.05
185,81603,-13.0,440,0.05
186,82047,-11.0,444,0.05
187,82487,-11.0,440,0.05
188,82931,-3.0,444,0.05
189,83374,-4.0,443,0.05
190,83813,-1.0,439,0.05
191,84256,-5.0,443,0.05
192,84698,-7.0,442,0.05
193,85139,-2.0,441,0.05
194,85583,1.0,444,0.05
195,86025,-15.0,442,0.05
196,86464,-5.0,439,0.05
197,86901,-16.0,437,0.05
198,87340,-16.0,439,0.05
199,87782,-5.0,442,0.05
200,88227,-35.0,445,0.05
201,88666,-28.0,439,0.05
202,89108,-12.0,442,0.05
203,89547,-15.0,439,0.05
204,89986,-36.0,439,0.05
205,90424,-27.0,438,0.05
206,90867,-10.0,443,0.05
207,91305,-36.0,438,0.05
208,91748,-9.0,443,0.05
209,92187,-13.0,439,0.05
210,92630,-2.0,443,0.05
211,93068,-20.0,438,0.05
212,93510,-33.0,442,0.05
213,93953,-44.0,443,0.05
214,94396,-21.0,443,0.05
215,94836,-27.0,440,0.05
216,95278,-35.0,442,0.05
217,95722,-18.0,444,0.05
218,96165,-48.0,443,0.05
219,96608,-20.0,443,0.05
220,97048,-61.0,440,0.05
221,97487,-23.0,439,0.05
222,97926,-21.0,439,0.05
223,98366,-13.0,440,0.05
224,98805,-35.0,439,0.05
225,99248,-14.0,443,0.05
226,99686,-14.0,438,0.05
