episode,timesteps,avg_reward,ep_length,epsilon
1,442,-11.0,442,0.9712
2,880,-1.0,438,0.9426
3,1320,-16.0,440,0.9138
4,1759,4.0,439,0.8851
5,2204,-2.0,445,0.8561
6,2645,-13.0,441,0.8273
7,3087,-7.0,442,0.7984
8,3525,-11.0,438,0.7698
9,3968,-17.0,443,0.7408
10,4408,-6.0,440,0.7121
11,4849,-10.0,441,0.6833
12,5288,-1.0,439,0.6546
13,5731,-10.0,443,0.6256
14,6173,0.0,442,0.5968
15,6612,-7.0,439,0.5681
16,7052,-11.0,440,0.5393
17,7497,-4.0,445,0.5103
18,7938,-24.0,441,0.4814
19,8382,-13.0,444,0.4524
20,8824,-21.0,442,0.4236
21,9265,-16.0,441,0.3948
22,9704,-6.0,439,0.3661
23,10143,-10.0,439,0.3374
24,10583,-29.0,440,0.3086
25,11027,-33.0,444,0.2796
26,11468,-13.0,441,0.2508
27,11912,-38.0,444,0.2218
28,12357,-29.0,445,0.1927
29,12802,-14.0,445,0.1637
30,13242,-15.0,440,0.1349
31,13686,-24.0,444,0.1059
32,14128,-25.0,442,0.077
33,14572,-31.0,444,0.048
34,15010,-32.0,438,0.02
35,15448,-18.0,438,0.02
36,15889,-35.0,441,0.02
37,16332,-26.0,443,0.02
38,16772,-46.0,440,0.02
39,17210,-52.0,438,0.02
40,17652,-30.0,442,0.02
41,18095,-52.0,443,0.02
42,18536,-34.0,441,0.02
43,18979,-13.0,443,0.02
44,19418,-58.0,439,0.02
45,19856,-57.0,438,0.02
46,20296,-31.0,440,0.02
47,20739,-23.0,443,0.02
48,21181,-20.0,442,0.02
49,21624,-35.0,443,0.02
50,22069,-52.0,445,0.02
51,22508,-21.0,439,0.02
52,22946,-37.0,438,0.02
53,23386,-42.0,440,0.02
54,23831,-17.0,445,0.02
55,24275,-26.0,444,0.02
56,24717,-34.0,442,0.02
57,25158,-35.0,441,0.02
58,25600,-31.0,442,0.02
59,26044,-41.0,444,0.02
60,26482,-43.0,438,0.02
61,26923,-27.0,441,0.02
62,27364,-37.0,441,0.02
63,27804,-19.0,440,0.02
64,28247,-30.0,443,0.02
65,28691,-35.0,444,0.02
66,29129,-39.0,438,0.02
67,29571,-35.0,442,0.02
68,30009,-38.0,438,0.02
69,30449,-19.0,440,0.02
70,30891,-43.0,442,0.02
71,31328,-34.0,437,0.02
72,31766,-28.0,438,0.02
73,32207,-13.0,441,0.02
74,32645,-65.0,438,0.02
75,33083,-40.0,438,0.02
76,33524,-27.0,441,0.02
77,33967,-26.0,443,0.02
78,34407,-26.0,440,0.02
79,34849,-31.0,442,0.02
