episode,timesteps,avg_reward,ep_length,epsilon
1,1768,-10.0,442,0.8836
2,1776,-0.5,2,0.883
3,3520,-5.25,436,0.7679
4,3524,0.0,1,0.7677
5,3528,0.0,1,0.7674
6,3540,-0.75,3,0.7666
7,5276,-6.75,434,0.652
8,5280,0.5,1,0.6518
9,5292,0.75,3,0.651
10,5296,0.0,1,0.6507
11,7036,-11.25,435,0.5359
12,7056,-0.5,5,0.5346
13,7068,0.0,3,0.5338
14,7072,0.0,1,0.5335
15,8816,-15.5,436,0.4184
16,8820,0.0,1,0.4181
17,8836,-0.5,4,0.4171
18,8848,0.0,3,0.4163
19,10580,-14.0,433,0.302
20,10592,0.0,3,0.3012
21,10612,0.0,5,0.2999
22,10624,0.25,3,0.2991
23,12348,-25.25,431,0.1853
24,12356,-0.25,2,0.1848
25,12380,1.0,6,0.1832
26,12400,1.25,5,0.1819
27,14100,-29.0,425,0.0697
28,14108,0.25,2,0.0691
29,14132,-0.5,6,0.0676
30,14176,-0.75,11,0.0646
31,15872,-27.75,424,0.01
32,15904,0.0,8,0.01
33,15948,-1.5,11,0.01
34,17628,-35.25,420,0.01
35,17632,0.0,1,0.01
36,17668,0.0,9,0.01
37,17708,-1.5,10,0.01
38,19388,-36.75,420,0.01
39,19396,-0.5,2,0.01
40,19432,-1.0,9,0.01
41,19460,-0.75,7,0.01
42,21148,-34.5,422,0.01
43,21152,0.0,1,0.01
44,21196,-1.0,11,0.01
45,21228,-1.75,8,0.01
46,22912,-40.5,421,0.01
47,22924,0.0,3,0.01
48,22960,0.0,9,0.01
49,23000,0.0,10,0.01
50,24672,-25.0,418,0.01
51,24692,-1.0,5,0.01
52,24716,-1.0,6,0.01
53,24756,0.0,10,0.01
54,26424,-23.0,417,0.01
55,26448,0.0,6,0.01
56,26472,0.75,6,0.01
57,26504,-1.5,8,0.01
58,28196,-33.75,423,0.01
59,28208,-0.25,3,0.01
60,28236,-0.75,7,0.01
61,28264,0.0,7,0.01
