episode,timesteps,avg_reward,ep_length,epsilon
1,1768,-10.0,442,0.9136
2,1776,-0.5,2,0.9132
3,3520,-5.25,436,0.8277
4,3524,0.0,1,0.8275
5,3528,0.0,1,0.8273
6,3540,-0.75,3,0.8267
7,5276,-6.75,434,0.7417
8,5280,0.5,1,0.7415
9,5292,0.75,3,0.7409
10,5296,0.0,1,0.7407
11,7036,-11.25,435,0.6554
12,7056,-0.5,5,0.6545
13,7068,0.0,3,0.6539
14,7072,0.0,1,0.6537
15,8816,-15.5,436,0.5682
16,8820,0.0,1,0.568
17,8836,-0.5,4,0.5672
18,8848,0.0,3,0.5666
19,10580,-8.25,433,0.4818
20,10592,0.25,3,0.4812
21,10612,-1.5,5,0.4802
22,10624,0.0,3,0.4796
23,12348,-15.5,431,0.3951
24,12356,-0.25,2,0.3948
25,12380,0.75,6,0.3936
26,12400,-0.75,5,0.3926
27,14100,-18.5,425,0.3093
28,14108,0.25,2,0.3089
29,14132,0.0,6,0.3077
30,14176,-0.25,11,0.3056
31,15872,-29.25,424,0.2225
32,15904,-0.75,8,0.2209
33,15948,-1.25,11,0.2187
34,17628,-21.5,420,0.1364
35,17632,0.25,1,0.1362
36,17668,-0.5,9,0.1345
37,17708,-1.25,10,0.1325
38,19388,-38.0,420,0.0502
39,19396,-0.25,2,0.0498
40,19432,-1.5,9,0.048
41,19460,-0.75,7,0.0467
42,21148,-28.75,422,0.02
43,21152,0.0,1,0.02
44,21196,-0.5,11,0.02
45,21228,0.0,8,0.02
46,22912,-30.25,421,0.02
47,22924,0.0,3,0.02
48,22960,-0.5,9,0.02
49,23000,-1.5,10,0.02
50,24672,-45.5,418,0.02
51,24692,-0.75,5,0.02
52,24716,0.25,6,0.02
53,24756,0.5,10,0.02
54,26424,-47.25,417,0.02
55,26448,-0.25,6,0.02
56,26472,-0.75,6,0.02
57,26504,1.0,8,0.02
58,28196,-37.25,423,0.02
59,28208,-0.25,3,0.02
60,28236,0.75,7,0.02
61,28264,-0.5,7,0.02
62,29952,-33.75,422,0.02
63,29988,-0.5,9,0.02
64,30000,0.0,3,0.02
65,30036,-0.5,9,0.02
66,31708,-56.25,418,0.02
67,31752,0.25,11,0.02
68,31768,0.25,4,0.02
69,31808,-0.5,10,0.02
70,33464,-38.25,414,0.02
71,33528,0.25,16,0.02
72,33532,0.0,1,0.02
73,33576,0.25,11,0.02
74,35224,-28.0,412,0.02
75,35284,-1.0,15,0.02
76,35296,0.0,3,0.02
77,35332,-0.75,9,0.02
78,36984,-21.25,413,0.02
79,37052,-0.25,17,0.02
80,37060,0.0,2,0.02
81,37092,0.0,8,0.02
82,38756,-22.75,416,0.02
83,38816,-1.0,15,0.02
84,38820,0.0,1,0.02
85,38860,0.5,10,0.02
86,40512,-22.0,413,0.02
87,40572,-0.5,15,0.02
88,40600,0.0,7,0.02
89,40616,0.25,4,0.02
90,42268,-25.5,413,0.02
91,42332,-1.25,16,0.02
92,42352,-0.25,5,0.02
93,42368,-0.25,4,0.02
94,44028,-26.5,415,0.02
95,44108,-0.25,20,0.02
96,44116,0.0,2,0.02
97,44132,-0.75,4,0.02
98,45780,-21.25,412,0.02
99,45864,-0.75,21,0.02
100,45872,-0.5,2,0.02
101,45892,-1.0,5,0.02
102,47560,-22.5,417,0.02
103,47636,-2.0,19,0.02
104,47648,0.5,3,0.02
105,47660,-0.25,3,0.02
106,49320,-28.75,415,0.02
107,49396,-1.25,19,0.02
108,49428,-0.5,8,0.02
109,49436,0.25,2,0.02
110,51068,-18.0,408,0.02
111,51172,0.0,26,0.02
112,51184,-0.75,3,0.02
113,51208,0.75,6,0.02
114,52820,-16.75,403,0.02
115,52924,-0.75,26,0.02
116,52956,-0.75,8,0.02
117,52968,0.25,3,0.02
118,54588,-31.25,405,0.02
119,54676,0.25,22,0.02
120,54736,0.0,15,0.02
121,54744,-0.25,2,0.02
122,56344,-19.0,400,0.02
123,56452,-1.5,27,0.02
124,56484,0.0,8,0.02
125,56512,0.25,7,0.02
126,58120,-27.0,402,0.02
127,58228,-1.0,27,0.02
128,58256,0.0,7,0.02
129,58288,-0.5,8,0.02
130,59884,-21.5,399,0.02
131,60008,-1.0,31,0.02
132,60028,0.0,5,0.02
133,60040,0.25,3,0.02
134,61652,-18.5,403,0.02
135,61784,-3.5,33,0.02
136,61792,0.0,2,0.02
137,61804,0.0,3,0.02
138,63404,-14.75,400,0.02
139,63536,-2.0,33,0.02
140,63556,0.0,5,0.02
141,63580,0.0,6,0.02
142,65164,-11.0,396,0.02
143,65304,0.0,35,0.02
144,65328,-0.5,6,0.02
145,65332,-0.5,1,0.02
146,66924,-35.75,398,0.02
147,67076,1.0,38,0.02
148,67084,0.0,2,0.02
149,67088,0.0,1,0.02
150,68672,-3.0,396,0.02
151,68828,-1.5,39,0.02
152,68840,0.25,3,0.02
153,70448,-20.0,402,0.02
154,70588,-2.25,35,0.02
155,70608,0.5,5,0.02
156,72220,-7.75,403,0.02
157,72364,1.25,36,0.02
158,72380,-0.5,4,0.02
159,73980,-14.25,400,0.02
160,74124,-1.25,36,0.02
161,74136,-0.5,3,0.02
162,74144,0.0,2,0.02
163,75756,-11.0,403,0.02
164,75876,-0.75,30,0.02
165,75892,0.25,4,0.02
166,75916,0.0,6,0.02
167,77520,-17.0,401,0.02
168,77636,-2.0,29,0.02
169,77672,-0.5,9,0.02
170,79280,-13.0,402,0.02
171,79404,-0.75,31,0.02
172,79424,0.25,5,0.02
173,79444,0.25,5,0.02
174,81060,-6.75,404,0.02
175,81160,-1.25,25,0.02
176,81184,1.0,6,0.02
177,81216,0.5,8,0.02
178,82828,-13.0,403,0.02
179,82932,-2.0,26,0.02
180,82956,0.25,6,0.02
181,82964,0.75,2,0.02
182,84588,-9.0,406,0.02
183,84704,-2.25,29,0.02
184,84724,-1.25,5,0.02
185,86352,-6.25,407,0.02
186,86456,0.0,26,0.02
187,86488,-0.25,8,0.02
188,86496,0.0,2,0.02
189,88124,-11.25,407,0.02
190,88216,-0.25,23,0.02
191,88240,0.0,6,0.02
192,88276,0.0,9,0.02
193,89880,-4.0,401,0.02
194,89968,0.5,22,0.02
195,90004,-0.25,9,0.02
196,90032,0.25,7,0.02
197,91652,-12.75,405,0.02
198,91724,-0.25,18,0.02
199,91760,-1.25,9,0.02
200,91784,-0.25,6,0.02
201,93412,-8.75,407,0.02
202,93480,-0.5,17,0.02
203,93524,-0.75,11,0.02
204,93544,0.5,5,0.02
205,95168,-13.25,406,0.02
206,95236,-0.5,17,0.02
207,95288,-0.25,13,0.02
208,95324,0.25,9,0.02
209,96936,-12.75,403,0.02
210,97008,-2.5,18,0.02
211,97048,0.0,10,0.02
212,97100,0.25,13,0.02
213,98700,-4.0,400,0.02
214,98768,-1.75,17,0.02
215,98808,-3.25,10,0.02
216,98868,-2.75,15,0.02
