episode,timesteps,avg_reward,ep_length,epsilon
1,1768,-10.0,442,0.8254
2,1776,-0.5,2,0.8246
3,3520,-5.25,436,0.6519
4,3524,0.0,1,0.6515
5,3528,0.0,1,0.6511
6,3540,-0.75,3,0.6499
7,5276,-6.75,434,0.4781
8,5280,0.5,1,0.4777
9,5292,0.75,3,0.4765
10,5296,0.0,1,0.4761
11,7036,-11.25,435,0.3038
12,7056,-0.5,5,0.3019
13,7068,0.0,3,0.3007
14,7072,0.0,1,0.3003
15,8816,-15.5,436,0.1276
16,8820,0.0,1,0.1272
17,8836,-0.5,4,0.1256
18,8848,0.0,3,0.1244
19,10580,-14.0,433,0.01
20,10592,0.0,3,0.01
21,10612,0.0,5,0.01
22,10624,0.0,3,0.01
23,12348,-26.0,431,0.01
24,12356,-0.25,2,0.01
25,12380,-0.75,6,0.01
26,12400,-0.25,5,0.01
27,14100,-27.25,425,0.01
28,14108,0.0,2,0.01
29,14132,-0.25,6,0.01
30,14176,-0.25,11,0.01
31,15872,-25.75,424,0.01
32,15904,0.0,8,0.01
33,15948,-1.25,11,0.01
34,17628,-36.0,420,0.01
35,17632,0.0,1,0.01
36,17668,-0.5,9,0.01
37,17708,-0.5,10,0.01
38,19388,-43.5,420,0.01
39,19396,0.25,2,0.01
40,19432,-0.5,9,0.01
41,19460,0.25,7,0.01
42,21148,-28.75,422,0.01
43,21152,0.25,1,0.01
44,21196,-0.5,11,0.01
45,21228,-0.25,8,0.01
46,22912,-37.25,421,0.01
47,22924,-0.5,3,0.01
48,22960,-0.25,9,0.01
49,23000,-2.0,10,0.01
50,24672,-44.5,418,0.01
51,24692,-0.25,5,0.01
52,24716,-0.25,6,0.01
53,24756,0.0,10,0.01
54,26424,-26.25,417,0.01
55,26448,0.0,6,0.01
56,26472,-0.5,6,0.01
57,26504,-1.25,8,0.01
58,28196,-39.75,423,0.01
59,28208,0.0,3,0.01
60,28236,-0.25,7,0.01
61,28264,0.0,7,0.01
62,29952,-40.5,422,0.01
63,29988,-0.5,9,0.01
64,30000,-0.5,3,0.01
65,30036,-0.5,9,0.01
66,31708,-25.75,418,0.01
67,31752,0.0,11,0.01
68,31768,-0.25,4,0.01
69,31808,0.25,10,0.01
70,33464,-23.75,414,0.01
71,33528,0.0,16,0.01
72,33532,0.0,1,0.01
73,33576,-0.5,11,0.01
74,35224,-30.0,412,0.01
75,35284,-2.0,15,0.01
76,35296,0.0,3,0.01
77,35332,-1.75,9,0.01
78,36984,-29.5,413,0.01
79,37052,-1.25,17,0.01
80,37060,0.0,2,0.01
81,37092,0.0,8,0.01
82,38756,-22.5,416,0.01
83,38816,-0.5,15,0.01
84,38820,-0.5,1,0.01
85,38860,0.25,10,0.01
86,40512,-28.0,413,0.01
87,40572,-2.25,15,0.01
88,40600,-2.0,7,0.01
89,40616,-1.5,4,0.01
90,42268,-32.75,413,0.01
91,42332,-2.75,16,0.01
92,42352,-0.5,5,0.01
93,42368,0.5,4,0.01
94,44028,-20.75,415,0.01
95,44108,-1.25,20,0.01
96,44116,0.25,2,0.01
97,44132,-0.5,4,0.01
98,45780,-32.25,412,0.01
99,45864,-0.75,21,0.01
100,45872,0.0,2,0.01
101,45892,0.0,5,0.01
102,47560,-24.0,417,0.01
103,47636,-1.25,19,0.01
104,47648,0.5,3,0.01
105,47660,0.25,3,0.01
106,49320,-17.75,415,0.01
107,49396,-1.5,19,0.01
108,49428,0.0,8,0.01
109,49436,0.25,2,0.01
110,51068,-41.75,408,0.01
111,51172,-2.25,26,0.01
112,51184,-0.5,3,0.01
113,51208,-0.75,6,0.01
114,52820,-19.5,403,0.01
115,52924,-1.0,26,0.01
116,52956,-0.25,8,0.01
117,52968,0.25,3,0.01
118,54588,-33.25,405,0.01
119,54676,-1.25,22,0.01
120,54736,0.0,15,0.01
121,54744,-0.25,2,0.01
122,56344,-11.75,400,0.01
123,56452,-2.5,27,0.01
124,56484,0.0,8,0.01
125,56512,0.0,7,0.01
126,58120,-9.5,402,0.01
127,58228,0.0,27,0.01
128,58256,-0.25,7,0.01
129,58288,0.0,8,0.01
130,59884,-32.5,399,0.01
131,60008,0.0,31,0.01
132,60028,0.5,5,0.01
133,60040,-0.25,3,0.01
134,61652,-28.75,403,0.01
135,61784,-2.5,33,0.01
136,61792,0.5,2,0.01
137,61804,0.0,3,0.01
138,63404,-38.0,400,0.01
139,63536,-1.5,33,0.01
140,63556,0.25,5,0.01
141,63580,-0.75,6,0.01
142,65164,-29.0,396,0.01
143,65304,-2.5,35,0.01
144,65328,1.0,6,0.01
145,65332,0.0,1,0.01
146,66924,-22.75,398,0.01
147,67076,-2.25,38,0.01
148,67084,0.0,2,0.01
149,67088,0.0,1,0.01
150,68672,-11.75,396,0.01
151,68828,-4.0,39,0.01
152,68840,0.25,3,0.01
153,70448,-14.75,402,0.01
154,70588,-4.5,35,0.01
155,70608,0.25,5,0.01
156,72220,-10.75,403,0.01
157,72364,-2.75,36,0.01
158,72380,0.0,4,0.01
159,73980,-15.5,400,0.01
160,74124,-3.75,36,0.01
161,74136,1.0,3,0.01
162,74144,0.0,2,0.01
163,75756,-14.75,403,0.01
164,75876,-1.5,30,0.01
165,75892,0.0,4,0.01
166,75916,0.0,6,0.01
167,77520,-23.5,401,0.01
168,77636,-0.25,29,0.01
169,77672,-0.25,9,0.01
170,79280,-8.25,402,0.01
